SOC[%],U[V]
0.000000000000000000e+00,3.203055674334649883e+00
1.040006000150723642e+00,3.279524244553010170e+00
2.080025291571886648e+00,3.337594361786509811e+00
3.120024093268402687e+00,3.384548747008309988e+00
4.160026185587022418e+00,3.423837110153079788e+00
5.200031808182465021e+00,3.456992655636240031e+00
6.240028595862926686e+00,3.484207034009689785e+00
7.280050231999012134e+00,3.499730728715670036e+00
8.320070457207647152e+00,3.507396750792699969e+00
9.360081159052734634e+00,3.512762966246619989e+00
1.040007629623650764e+01,3.517362579492839814e+00
1.144007887383509647e+01,3.522345493842910180e+00
1.248008248149069921e+01,3.527711709296830200e+00
1.352009760210484046e+01,3.533269575302670162e+00
1.456010263479151590e+01,3.539594043516220090e+00
1.560011613700287292e+01,3.546685113937470213e+00
1.664011791159838793e+01,3.554351136014500145e+00
1.768012098568020463e+01,3.562592109747309888e+00
1.872012634712625356e+01,3.570833083480120074e+00
1.976013420436612478e+01,3.578882406661000104e+00
2.080014163773697433e+01,3.586740079289949978e+00
2.184014965742353453e+01,3.594022800263129813e+00
2.288015323992538441e+01,3.600922220132449780e+00
2.392016845960267091e+01,3.607246688346000152e+00
2.496017478937934442e+01,3.613379506007630138e+00
2.600019441342223558e+01,3.619320673117320197e+00
2.704024286995121429e+01,3.625453490778950183e+00
2.808024376082403606e+01,3.631394657888650013e+00
2.912026853578639063e+01,3.637527475550269784e+00
3.016028464330107184e+01,3.642893691004189805e+00
3.120028368815739839e+01,3.648259906458109825e+00
3.224030041839496619e+01,3.652667869152399938e+00
3.328030317277514172e+01,3.656884181294770109e+00
3.432032172935240055e+01,3.660908842885210124e+00
3.536032826224563053e+01,3.664550203371800041e+00
3.640033540746618712e+01,3.667999913306459803e+00
3.744035201914551436e+01,3.671449623241120008e+00
3.848037676288747377e+01,3.674899333175780214e+00
3.952037984246318558e+01,3.678349043110450189e+00
4.056038406689386022e+01,3.681798753045109951e+00
4.160037810500525524e+01,3.685056812427850215e+00
4.264038303083228953e+01,3.688698172914440132e+00
4.368038748027880303e+01,3.692147882849099894e+00
4.472038765356110446e+01,3.695789243335689811e+00
4.576040961280056507e+01,3.699622254374200114e+00
4.680041465186872074e+01,3.703455265412720188e+00
4.784041974146697385e+01,3.707479927003160203e+00
4.888042143241929693e+01,3.711504588593600218e+00
4.992043375406908723e+01,3.715912551287889887e+00
5.096044690212848849e+01,3.720320513982180000e+00
5.200046546791213586e+01,3.725111777780329980e+00
5.304047929246603843e+01,3.729711391026540035e+00
5.408050301435702778e+01,3.734885955928540113e+00
5.512051967785429696e+01,3.740252171382460133e+00
5.616054323214703459e+01,3.745618386836380154e+00
5.720055168404326906e+01,3.751367903394149828e+00
5.824057190842515297e+01,3.757309070503850101e+00
5.928058580938228772e+01,3.763633538717400029e+00
6.032060831796455602e+01,3.770149657482869898e+00
6.136062530320415220e+01,3.776665776248349982e+00
6.240063966386656347e+01,3.783373545565750007e+00
6.344065208168664327e+01,3.790656266538920072e+00
6.448067490063638729e+01,3.798130638064030062e+00
6.552068004409389346e+01,3.805796660141059995e+00
6.656069543220895923e+01,3.813845983321940025e+00
6.760069983814477723e+01,3.822086957054739997e+00
6.864070938147705192e+01,3.830519581339470125e+00
6.968072076656613945e+01,3.839527157279980063e+00
7.072073894143832717e+01,3.848918034324340098e+00
7.176074061699011963e+01,3.858883863024479943e+00
7.280075182559616565e+01,3.869232992828469886e+00
7.384076528913413995e+01,3.880348724840160024e+00
7.488075767956104301e+01,3.892231059059560128e+00
7.592075532268738414e+01,3.904496694382800115e+00
7.696077330410302864e+01,3.917145630809899970e+00
7.800079286455306260e+01,3.929027965029300073e+00
7.904081581839668047e+01,3.940526998144839865e+00
8.008083686950149627e+01,3.951642730156530003e+00
8.112083772570267115e+01,3.961991859960519946e+00
8.216085849666612262e+01,3.972340989764509889e+00
8.320088527041730231e+01,3.982306818464650178e+00
8.424090538031694564e+01,3.992655948268640120e+00
8.528092353515611990e+01,4.002813427520700351e+00
8.632093983231327172e+01,4.013162557324689850e+00
8.736094858015444231e+01,4.023511687128680236e+00
8.840095705966601258e+01,4.034052467484589677e+00
8.944096731510140330e+01,4.044784898392440375e+00
9.048097448172536872e+01,4.055900630404130069e+00
9.152097443024888435e+01,4.066824711863890052e+00
9.256098376883841183e+01,4.078323744979440058e+00
9.360098355635759049e+01,4.089631127543060352e+00
9.464099262531856027e+01,4.101321811210519641e+00
9.568100022310032671e+01,4.112820844326069647e+00
9.672101884311594233e+01,4.124511527993539595e+00
9.776103722748253233e+01,4.136585512764860084e+00
9.859600569742306675e+01,4.146168040361139617e+00
9.912315516795437986e+01,4.151725906366990237e+00
9.949801249425762251e+01,4.155558917405500097e+00
9.977986535886654451e+01,4.158433675684389819e+00
1.000000000000000000e+02,4.160541831755569575e+00
