SOC[%],U[V]
1.000000000000000000e+02,4.166372028295389995e+00
9.899864264497087163e+01,4.152374828329190137e+00
9.799730528099888716e+01,4.138952855758859961e+00
9.699596942062375149e+01,4.126106110584410125e+00
9.599461519567498158e+01,4.113259365409949631e+00
9.499326427359332570e+01,4.100796105166070404e+00
9.399190811684673008e+01,4.088332844922200060e+00
9.299054953102276500e+01,4.076444812074189628e+00
9.198919159325768646e+01,4.064365036760889893e+00
9.098783644876600363e+01,4.052668746378180309e+00
8.998648360495141674e+01,4.040972455995460066e+00
8.898512825114887903e+01,4.029467908078039784e+00
8.798377050950931277e+01,4.018346845091190112e+00
8.698241446663669763e+01,4.007034039639060019e+00
8.598106288393466912e+01,3.996104719117509863e+00
8.497970782954583058e+01,3.985367141061240126e+00
8.397834988925542632e+01,3.974629563004980159e+00
8.297700480127238620e+01,3.964083727414009939e+00
8.197564692605782000e+01,3.953729634288329908e+00
8.097429079313710076e+01,3.943375541162640108e+00
7.997293585922918169e+01,3.933021448036960077e+00
7.897158384910271423e+01,3.922859097376569792e+00
7.797022861266283655e+01,3.912696746716179952e+00
7.696887138064806777e+01,3.902534396055779897e+00
7.596751316579222646e+01,3.892563787860679803e+00
7.496615740955695628e+01,3.882593179665580152e+00
7.396480026569464883e+01,3.872239086539900121e+00
7.296344478952913448e+01,3.861884993414220091e+00
7.196209223723292325e+01,3.851722642753829806e+00
7.096073501859223143e+01,3.841368549628140006e+00
6.995937903682008141e+01,3.830822714037169785e+00
6.895802260665406891e+01,3.820085135980909818e+00
6.795666585312282848e+01,3.809539300389929828e+00
6.695530775620474628e+01,3.798226494937800179e+00
6.595395040862446479e+01,3.786530204555079937e+00
6.495259405112854267e+01,3.774066944311210037e+00
6.395124000167912470e+01,3.761028456671459796e+00
6.294988372975501534e+01,3.748181711497000190e+00
6.194852996260834743e+01,3.735718451253120076e+00
6.094717412028391124e+01,3.724405645800989983e+00
5.994581839361043762e+01,3.714626780071180079e+00
5.894446751862756173e+01,3.705614884202530046e+00
5.794311445366307822e+01,3.697369958195039885e+00
5.694175611770251066e+01,3.689700259583430064e+00
5.594041409502475659e+01,3.682605788367680155e+00
5.493906103655002937e+01,3.675703059617230206e+00
5.393770517973063505e+01,3.669567300727929915e+00
5.293635022639363541e+01,3.663623284303930028e+00
5.193499312723921690e+01,3.658062752810510077e+00
5.093364076719457501e+01,3.652885706247670061e+00
4.993228447045891016e+01,3.648092144615409982e+00
4.893093001006396747e+01,3.643490325448440093e+00
4.792957710673185545e+01,3.638888506281470203e+00
4.692822758782410375e+01,3.634670172045079806e+00
4.592687228689067069e+01,3.630643580273980042e+00
4.492552488755971751e+01,3.626616988502879835e+00
4.392416858660471490e+01,3.622782139197069817e+00
4.292281142205737865e+01,3.618947289891259800e+00
4.192145929309959484e+01,3.615304183050750186e+00
4.092010277681710306e+01,3.611661076210229915e+00
3.991874606895542144e+01,3.608209711834999833e+00
3.891739172104080069e+01,3.604374862529189816e+00
3.791603480703519580e+01,3.600731755688669988e+00
3.691467909417184501e+01,3.596896906382870185e+00
3.591332434800719398e+01,3.592870314611769977e+00
3.491197023557431578e+01,3.588843722840670214e+00
3.391061353032786485e+01,3.584433646138990071e+00
3.290925520835631346e+01,3.579640084506729991e+00
3.190789885990937336e+01,3.574654780409180166e+00
3.090654993803729056e+01,3.568902506450470025e+00
2.990519183712581253e+01,3.563150232491750113e+00
2.890383497018185111e+01,3.556822731137169846e+00
2.790247968712891691e+01,3.550495229782590023e+00
2.690112416758745795e+01,3.543975985962709796e+00
2.589976998100631533e+01,3.537456742142839783e+00
2.489841360112653845e+01,3.531129240788250190e+00
2.389705721702964780e+01,3.524801739433669923e+00
2.289569948634968455e+01,3.518665980544379845e+00
2.189435474504056245e+01,3.512338479189789808e+00
2.089299743632805217e+01,3.505435750439339859e+00
1.989164263146761158e+01,3.497957794293010014e+00
1.889028862004207099e+01,3.489904610750810043e+00
1.788893041364820036e+01,3.481659684743330097e+00
1.688758384574979132e+01,3.473414758735839936e+00
1.588623090789645609e+01,3.465361575193639965e+00
1.488487398310621934e+01,3.456541421790280122e+00
1.388351719733503487e+01,3.447337783456339899e+00
1.288216088115732205e+01,3.438709372518269802e+00
1.188080606593980804e+01,3.431806643767819853e+00
1.087944935909275657e+01,3.425862627343819966e+00
9.878095437876494245e+00,3.420110353385100055e+00
8.876739970552897319e+00,3.413974594495809978e+00
7.875386058908204312e+00,3.406496638349489903e+00
6.874027424836875788e+00,3.395567317827929976e+00
5.872673447307239947e+00,3.374859131576569915e+00
4.871318355072808970e+00,3.337085865914359850e+00
3.869969982550061083e+00,3.287232824938850051e+00
2.868613449582681163e+00,3.223190841531850204e+00
1.867257456558035322e+00,3.137098474616450083e+00
8.659026487245732318e-01,3.001728294121420060e+00
3.143545114311571687e-01,2.872110387585100177e+00
1.821472997496022261e-01,2.837405001367539814e+00
1.055922229379358812e-01,2.822832574005469830e+00
4.789528182942598411e-02,2.814779390463269859e+00
0.000000000000000000e+00,2.809410601435140098e+00
